Episode 279/10000, Total Reward: 16, Epsilon: 0.9724842537931058
Episode 280/10000, Total Reward: -10, Epsilon: 0.9723870053677265
Episode 281/10000, Total Reward: -74, Epsilon: 0.9722897666671897
edge already selected: 19
Episode 282/10000, Total Reward: -10000000074, Epsilon: 0.9721925376905229
Episode 283/10000, Total Reward: -10, Epsilon: 0.9720953184367539
Episode 284/10000, Total Reward: 16, Epsilon: 0.9719981089049102
Episode 285/10000, Total Reward: -74, Epsilon: 0.9719009090940197
Episode 286/10000, Total Reward: 48, Epsilon: 0.9718037190031104
Episode 287/10000, Total Reward: -74, Epsilon: 0.97170653863121
edge already selected: 19
Episode 288/10000, Total Reward: -9999999984, Epsilon: 0.9716093679773469
Episode 289/10000, Total Reward: 48, Epsilon: 0.9715122070405492
Episode 290/10000, Total Reward: -42, Epsilon: 0.9714150558198451
Episode 291/10000, Total Reward: -74, Epsilon: 0.9713179143142632
Episode 292/10000, Total Reward: 48, Epsilon: 0.9712207825228317
Episode 293/10000, Total Reward: 16, Epsilon: 0.9711236604445794
Episode 294/10000, Total Reward: -10, Epsilon: 0.971026548078535
Episode 295/10000, Total Reward: 16, Epsilon: 0.9709294454237271
Episode 296/10000, Total Reward: -42, Epsilon: 0.9708323524791846
Episode 297/10000, Total Reward: -42, Epsilon: 0.9707352692439367
Episode 298/10000, Total Reward: 16, Epsilon: 0.9706381957170124
Episode 299/10000, Total Reward: -74, Epsilon: 0.9705411318974407
Episode 300/10000, Total Reward: 16, Epsilon: 0.970444077784251
Episode 301/10000, Total Reward: -42, Epsilon: 0.9703470333764725
Episode 302/10000, Total Reward: 16, Epsilon: 0.9702499986731349
Episode 303/10000, Total Reward: 16, Epsilon: 0.9701529736732676
Episode 304/10000, Total Reward: 16, Epsilon: 0.9700559583759003
Episode 305/10000, Total Reward: 16, Epsilon: 0.9699589527800627
edge already selected: 19
Episode 306/10000, Total Reward: -9999999984, Epsilon: 0.9698619568847847
Episode 307/10000, Total Reward: -42, Epsilon: 0.9697649706890963
Episode 308/10000, Total Reward: -42, Epsilon: 0.9696679941920274
Episode 309/10000, Total Reward: -42, Epsilon: 0.9695710273926083
Episode 310/10000, Total Reward: 16, Epsilon: 0.969474070289869
Episode 311/10000, Total Reward: -74, Epsilon: 0.9693771228828401
Episode 312/10000, Total Reward: -74, Epsilon: 0.9692801851705518
edge already selected: 19
Episode 313/10000, Total Reward: -10000000074, Epsilon: 0.9691832571520348
Episode 314/10000, Total Reward: -10, Epsilon: 0.9690863388263196
edge already selected: 19
Episode 315/10000, Total Reward: -10000000042, Epsilon: 0.9689894301924369
edge already selected: 19
Episode 316/10000, Total Reward: -9999999952, Epsilon: 0.9688925312494177
Episode 317/10000, Total Reward: 16, Epsilon: 0.9687956419962928
Episode 318/10000, Total Reward: 16, Epsilon: 0.9686987624320932
Episode 319/10000, Total Reward: 48, Epsilon: 0.9686018925558499
Episode 320/10000, Total Reward: -74, Epsilon: 0.9685050323665944
Episode 321/10000, Total Reward: -42, Epsilon: 0.9684081818633578
Episode 322/10000, Total Reward: 16, Epsilon: 0.9683113410451715
Episode 323/10000, Total Reward: 48, Epsilon: 0.968214509911067
Episode 324/10000, Total Reward: -42, Epsilon: 0.9681176884600758
Episode 325/10000, Total Reward: 16, Epsilon: 0.9680208766912298
edge already selected: 19
Episode 326/10000, Total Reward: -9999999952, Epsilon: 0.9679240746035607
Episode 327/10000, Total Reward: -74, Epsilon: 0.9678272821961004
Episode 328/10000, Total Reward: 48, Epsilon: 0.9677304994678808
Episode 329/10000, Total Reward: -74, Epsilon: 0.967633726417934
Episode 330/10000, Total Reward: 16, Epsilon: 0.9675369630452922
